"종목코드","cb_all","label_all","category","title1","date","news","urls","label_pred","year","매출액","자산총계","영업이익률","부채비율","EPS","buliding","buildingyear"
210,"대림산업",13413,"제도적이슈","8·2 부동산 후속대책 여파…건설株 ‘약세’",2017-09-06,"[이데일리 이명철 기자] 부동산 투기과열지구 추가 지정과 분양가 상한제 적용 등을 담은 8·2 부동산 후속 대책 발표 이후 건설주가 약세를 나타내고 있다.GS건설 주가는 전일대비 3.21% 내린 2만8600원을 기록 중이다. 현대건설(000720) 한라(014790) 대우건설(047040) 현대산업(012630) 대림산업(000210) 화성산업(002460) 한진중공업(097230) 코오롱글로벌(003070) 두산건설(011160) 태영건설(009410) 계룡건설(013580) 등도 약세다. 주택 수요 위축에 따른 분양시장 여건 저하 등이 투자심리를 위축하는 것으로 풀이된다.금호타이어 매각 무산 소식이 더해진 금호산업(002990)은 같은시간 6.51% 내린 8330원에 거래되고 있다.정부는 전날 8·2 대책 후속 조치로 성남시 분당구와 대구 수성구를 투기과열지구로 추가지정하고 민간택지에 분양가상한제를 적용하는 요건을 개선했다고 발표했다. 김형근 NH투자증권 연구원은 “주택 투기수요는 급감하고 주택 구매심리도 둔화될 것”이라며 “입주물량이 급증하는 지역 중심으로 가격 조정이 시작될 것”이라고 진단했다.이명철 (twomc","https://finance.naver.com/news/market_special_read.nhn?article_id=0003916654&office_id=018&type=title&keyword=","제도적이슈",2017,98538,123915,4.26,140.83,6873,"1939.10.10",1939
210,"대림산업",14552,"제도적이슈","강력한 부동산 규제+신용위험 우려…건설株 ‘털썩’",2017-08-03,"[이데일리 이명철 기자] 투기지역 지정이나 금융규제 강화 등 정부의 고강도 부동산 대책 발표에 건설주가 일제히 하락세를 나타내고 있다.3일 오전 10시8분 현재 동부건설(005960) 주가는 전일대비 7.90% 내린 1만3400원을 기록 중이다. 이어 한신공영(004960) GS건설(006360) 삼호(001880) 현대산업(012630) 대림산업(000210) 대우건설(047040) 금호산업(002990) 현대건설(000720) 한라(014790) 태영건설(009410) 등 순으로 하락세다. 대책 발표 후 주택시장 위축에 따른 건설사들의 주택사업 부진 우려가 반영되는 것으로 풀이된다.증권가에서도 중장기로 볼 때 건설업 투자에 대해 신중해야 한다는 의견이 나오고 있다. 라진성 키움증권 연구원은 “8월 가계부채종합방안, 총부채원리금상환비율(DSR) 확대 시행 등 추가 정책 발표가 예정됐고 보유세 인상 가능성도 언급되고 있다”며 “올해까지 대형사 신규 공급계획에 미치는 영향은 제한적이지만 내년부터는 입주물량 증가와 국내외 금리인상 등 주택 조정요인이 증가해 건설업 투자 전략 측면에서는 주택부문에 대해 보수적인 시각이 필요하다”고 진단했다.여기에 이날 채권은행에서 발표 예정인 대기업에 대한 신용위험평가 결과도 투자심리에 영향을 미치는 것으로 보인다. 건설업은 지난해에도 C등급 3곳, D등급 3곳으로 선정되는 등 신용위험도가 높은 업종으로 분류되고 있다.이명철 (twomc","https://finance.naver.com/news/market_special_read.nhn?article_id=0003889769&office_id=018&type=title&keyword=","제도적이슈",2017,98538,123915,4.26,140.83,6873,"1939.10.10",1939
210,"대림산업",8538,"실적부진","대림산업, 실적 충격에 급락",2018-01-26,"
대림[연합뉴스TV 캡처](서울=연합뉴스) 유현민 기자 = 대림산업이 작년 4분기 시장기대치(컨센서스)를 밑도는 실적 충격의 영향으로 26일 장 초반 급락세를 보이고 있다.     이날 오전 9시 22분 현재 유가증권시장에서 대림산업은 전날보다 10.18% 떨어진 8만300원에 거래됐다.     대림산업은 작년 4분기 연결기준 실적은 매출액 3조2천877억원으로 전년 동기보다 27.5% 증가하고, 영업이익은 925억원으로 49.7% 증가했다고 전날 장 마감 후 공시했다. 다만, 당기순손실 388억원을 내 적자 전환했다.     채상욱 하나금융투자 연구원은 ""세전이익은 -684억원으로 적자 전환했고, 지배지분순이익도 -338억원으로 적자 전환했다""며 ""영업이익과 세전이익은 컨센서스보다 40% 이상 부족한 실적충격(어닝쇼크) 수준""이라고 분석했다.     채 연구원은 ""당분간 건설부문 영업환경이 침체할 전망이고 이란 등 기대했던 해외시장 수주 가시성도 낮아져 투자 매력이 희매해졌다""며 투자의견을 '매수'에서 '중립(Neutral)'으로 목표주가를 11만원에서 8만6천원으로 각각 내렸다.     hyunmin623","https://finance.naver.com/news/market_special_read.nhn?article_id=0009838196&office_id=001&type=title&keyword=","실적부진",2018,123355,134025,4.42,135.37,12707,"1939.10.10",1939
230,"일동홀딩스",16987,"국내증시위기","벽산·서흥 등 코스피200 제외종목 `약세`",2017-05-18,"[이데일리 이후섭 기자] 벽산(007210) 서흥(008490) 일동홀딩스(000230) 등 코스피200지수에서 제외된 종목들이 하락세다.18일 오전 10시15분 현재 벽산은 전날대비 160원(4.34%) 내린 3525원에 거래되고 있다. 서흥과 일동홀딩스는 각각 3.93%, 3.21% 하락세를 기록하고 있다. 크라운해태홀딩스(005740)(-2.87%) 하이트진로홀딩스(000140)(-2.53%) 삼광글라스(005090)(-1.58%) 국도화학(007690)(-1.47%) S&T;중공업(003570)(-1.33%) 등도 약세를 면치 못하고 있다.한국거래소는 지난 16일 주가지수운영위원회를 열고 코스피200과 코스닥150 구성종목 정기변경을 확정했다고 전날 밝혔다. 이번 코스피200지수 정기변경으로 기존에 편입됐던 하이트진로홀딩스, 일동홀딩스, 일신방직, S&T;중공업, 조광피혁, 삼광글라스, 크라운해태홀딩스, 벽산, 국도화학, 서흥 등 10개 종목이 빠졌다. 이창환 IBK투자증권 연구원은 “발표된 종목의 정기변경일은 오는 6월9일이나 실질적인 편출이 이뤄지는 시점은 6월 선물·옵션 동시 만기일인 둘째주 목요일 장마감 이후”라며 “이날 코스피200을 추종하는 패시브 펀드의 자금 유출입이 발생할 수 있다”고 판단했다.이후섭 (dlgntjq","https://finance.naver.com/news/market_special_read.nhn?article_id=0003827432&office_id=018&type=title&keyword=","국내증시위기",2017,408,2041,-9.16,91.03,15023,"1941.03.14",1941
240,"한국타이어월드와이드",2092,"기타","""한국타이어월드와이드, 주가 하락은 신규 진입 기회로 삼아야""",2018-05-17,"
자료 제공 = 하나금융투자하나금융투자는 17일 한국타이어월드와이드에 대해 주가 하락은 신규 진입의 기회로 삼아야 한다고 평가했다.송선재 하나금융투자 연구원은 ""적정 기업가치의 83%·11% 비중을 차지하는 한국타이어·아트라스BX에 대한 지분가치는 각 사의 실적은 하반기로 갈수록 개선되면서 동반 상승할 것""이라며 ""현재와 같이 악재만 반영하고 있는 주가에서는 적극적인 신규 진입의 기회로 삼아야 한다""고 말했다. 한국타이어월드와이드의 적정 기업가치는 자회사들에 대한 지분가치(30% 할인 적용한 1조9000억원)와 로열티·순현금 가치(4000억원)을 합산한 2조3000억원으로 평가했다. 현재 주가는 35% 할인된 상태다.송 연구원은 ""한국타이어의 1분기 실적은 예상보다 적은 물량으로 외형이 축소되면서 기대치를 밑돌았다""면서도 ""하지만 지난해 2~3분기에 단행했던 가격인상이 올해 온기 내내 반영되고 주요 원재료의 투입원가는 안정화된 상태라 당분간 스프레드는 긍정적일 것""이라고 말했다. 최근 몇 분기 동안 이익률 하락의 주범이었던 미국 테네시 공장 역시 가동률 상승으로 적자를 축소할 것이고, 3분기에 손익분기점(BEP) 달성이 기대된다고 평가했다. [디지털뉴스국 김경택 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004152259&office_id=009&type=title&keyword=","실적부진",2018,8248,32525,24.16,8.56,1823,"1941.05.10",1941
240,"한국타이어월드와이드",1527,"기타","""한국타이어월드와이드, 성장 잠재력 가시화 필요""…목표가↓",2018-05-30,"
자료 제공 = NH투자증권NH투자증권은 30일 한국타이어월드와이드에 대해 밸류에이션 매력이 부각되기 위해서는 성장 잠재력이 가시화할 필요가 있다고 지적했다. 목표주가는 기존 2만5000원에서 2만2500원으로 하향 조정하고 투자의견은 '매수'를 유지했다.조수홍 NH투자증권 연구원은 ""양호한 재무구조와 밸류에이션 매력이 부각되기 위해서는 성장 잠재력 가시화가 필요하다""면서 ""유동성을 기반으로 한 사업 다각화(M&A;등) 실행 또는 주주환원정책의 의미있는 변화 등이 저평가 해소를 위한 전제조건""이라고 설명했다.한국타이어월드오이드의 지난해 말 순현금은 2410억원으로 전년 대비 감소했다. 이는 지난해 12월 한국타이어 지분 추가매입(약 3240억원 규모)으로 인해 지분율을 30%(기존 25%)로 확대했기 때문이다. 한국타이어월드와이드는 브랜드로열티, 주요 투자자산에 대한 배당금 수입 등 지주부문에서 연간 약 600억원 이상의 현금유입이 지속되고 있다. 또 연결 사업자회사인 아트라스BX도 안정적인 현금 창출이 지속되고 있어 순현금 규모는 매년 확대될 전망이다.조 연구원은 ""한국타이어월드와이드는 양호한 현금 창출능력을 기반으로 향후 자동차 관련 영역으로의 사업다각화를 통해 성장 잠재력을 높여나갈 계획이지만 아직까지 현실화되고 있지는 못하다""면서 ""양호한 현금유동성이 성장 잠재력 확대를 위한 사업다각화로 현실화되거나 배당 등 주주환원정책의 변화가 나타날 때 밸류에이션 재평가 요인이 될 수 있을 것""이라고 말했다.[디지털뉴스국 김경택 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004159477&office_id=009&type=title&keyword=","실적부진",2018,8248,32525,24.16,8.56,1823,"1941.05.10",1941
240,"한국타이어월드와이드",642,"기타","""한국타이어월드와이드, 주주환원 정책 기대감 이연""…목표가↓",2018-06-19,"
자료 제공 = SK증권SK증권은 19일 한국타이어월드와이드에 대해 주주환원 정책에 대한 기대감이 다소 이연될 전망이라며 목표주가를 기존 2만8000원에서 2만3000원으로 하향 조정했다. 투자의견은 '매수'를 유지했다.권순우 SK증권 연구원은 ""하반기에도 주요 자회사의 양호한 외형성장과 수익성에 힘입어 안정적인 실적과 현금 창출능력은 지속될 것으로 예상한다""면서도 ""하지만 지분매입에 따른 순현금 감소로 기존 투자 포인트였던 인수합병(M&A;)을 통한 사업확대나 주주환원 정책에 대한 기대감은 다소 이연될 것""이라고 예상했다.올해 연간 매출액은 8287억원 영업이익은 2396억원으로 전년 동기 대비 각각 7.6%, 20.2% 증가할 것이라고 예상했다.권 연구원은 ""축전지사업은 지난 2016년 4분기 이후 주요 원재료인 연(Lead) 가격 상승이 제품가격에 반영되며 외형성장 및 수익성 개선이 있었다""며 ""최근 매크로 불확실성이 반영되며 연(Lead)가격의 조정이 있었지만, 주요 소비처인 중국·미국에서의 배터리 교체 수요와 중국의 연 재고 감소, 주요 제련업체의 개보수 등 원재료의 공급차질을 감안할 때 하반기에도 안정적인 실적을 이어갈 것""이라고 진단했다.[디지털뉴스국 김경택 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004170291&office_id=009&type=title&keyword=","실적부진",2018,8248,32525,24.16,8.56,1823,"1941.05.10",1941
270,"기아자동차",17852,"기타","현대차 3인방, 한미FTA 개정 소식에 '하락'",2017-04-19,"[이데일리 정수영 기자] 현대차(005380), 기아차(000270), 현대모비스(012330) 등 현대차 3인방이 19일 유가증권시장(코스피시장)에서 약세다.이날 오후 2시22분 현재 현대차는 전날보다 2.84% 떨어진 13만7000원에 거래되고 있다. 현대모비스는 2.05% 빠진 21만4500원, 기아차는 1.59% 내린 3만4150원에 거래중이다. 한국을 방문한 펜스 미국 부통령이 전날 한미 자유무역협정(FTA)을 개정하겠다고 발언하면서 자동차주가 일제히 내림세다. 내수시장에서 미국산 자동차 판매량이 증가하면 국산차업계가 타격을 받을 것이란 우려가 커진 때문이다.  다만 한미FTA가 개정되더라도 국내 자동차 시장에 끼치는 영향은 제한적이란 분석이 나오고 있다. 이재일 유진투자증권 연구원은 “펜스 부통령의 FTA 개정 발언은 기존의 재협상 내용보다 다소 완화된 표현인데다, 불균형 심화 원인으로 한국정부의 규제를 꼽은 만큼 자동차업계와 부품업에 미치는 영향은 크지 않을 것”이라고 봤다. 미국 무역대표부는 지난달 30일 발간한 ‘2017 무역장벽 보고서’에서 총 30개의 한국 비관세 무역장벽이 존재한다고 밝혔다. 보고서에 포함된 자동차 비관세 장벽은 차량 연비 규제, 수리 이력 보조에 관한 규제, 독립 수리점에 대한 부품 및 수리정보 제공에 대한 규제 등 세 가지다.정수영 (grassdew","https://finance.naver.com/news/market_special_read.nhn?article_id=0003803614&office_id=018&type=title&keyword=","제도적이슈",2017,527129,508893,4.67,91.46,6795,"1944.12.10",1944
270,"기아자동차",16948,"기타","현대차 그룹주, 지주사 전환 추진설 부인에 약세",2017-05-19,"전날 지배구조 개편에 대한 기대감에 강세를 나타냈던 현대차 그룹주가 회사 측의 부인 공시에 하락세로 돌아섰다.19일 오전 9시 33분 현재 현대차(005380)는 전날보다 4000원(2.42%) 내린 16만1000원에 거래되고 있다. 현대모비스(012330)와 기아차(000270)도 각각 3000원(1.15%), 650원(1.7%) 하락한 25만7000원, 3만7550원에 거래 중이다.이날 장이 열리기 직전 현대차는 금융감독원 공시를 통해 “일부 언론에 보도된 ‘현대차그룹 지주회사 전환 추진설’에 대한 내용은 사실이 아니다”라고 해명했다. 전날 증권가와 언론에서는 “문재인 정부의 재벌 개혁안이 현대차그룹의 지배구조 개편을 촉진시킬 것”이라는 내용의 전망과 보도가 쏟아진 바 있다.[전준범 기자 bbeom","https://finance.naver.com/news/market_special_read.nhn?article_id=0000369930&office_id=366&type=title&keyword=","비리의혹",2017,527129,508893,4.67,91.46,6795,"1944.12.10",1944
270,"기아자동차",9507,"실적부진","'현대차 3인방' 약세…환율 하락·판매목표 감소",2018-01-02,"[이데일리 안혜신 기자] 현대차(005380) 3인방이 동반 약세를 보이고 있다. 원·달러 하락에 판매목표 감소 등이 복합적으로 작용한 것으로 풀이된다.2일 오전 10시11분 현재 현대차는 전 거래일 대비 2.56%(24000원) 내린 15만2000원에 거래되고 있다. 기아차(000270)는 2.09%(700원) 내린 3만2800원을 기록 중이며, 현대모비스(012330)도 1.9% 약세다. 세 종목 모두 매도 창구 상위에 메릴린치와 모건스탠리 등 외국계 증권사가 자리하고 있어 외국인 매도가 집중되고 있는 것으로 보인다.환율 흐름이 우호적이지 않다. 원·달러환율은 전 거래일 대비 4.5원 내린 1066원에 거래를 시작했다. 이는 지난 2014년 4월30일(1052.9원·저가 기준) 이후 최저 수준이다.여기에 현대차그룹이 올해 판매목표를 755만대를 제시한 점도 주가를 끌어내리고 있다. 이는 지난해 연간 판매목표 825만대에서 8.4% 감소한 수치로 2013년 이후 가장 적은 수준이다. 현대차(005380) 판매 목표는 467만5000대(내수 70만1000대, 해외 397만4000대)다. 기아차(000270)는 287만5000대(내수 52만대, 해외 235만5000대)를 판매하겠다는 목표다.안혜신 (ahnhye","https://finance.naver.com/news/market_special_read.nhn?article_id=0004003260&office_id=018&type=title&keyword=","대규모매도",2018,535357,522944,1.24,94.68,2388,"1944.12.10",1944
