"stock_code","cb_all","label_all","category","title1","date","news","urls","number","stand","news_num","업종.x","year","매출액","자산총계","영업이익률","부채비율","EPS","buildingyear","Psell","amount","low","recovery","recovery_day","low_day","Pratio","low_day2","recovery_day2"
120,"CJ대한통운",5583,"대주주지분처분","CJ대한통운, 아시아나항공 블록딜에 하락세","2018-03-16","[아시아경제 조호윤 기자]CJ대한통운 주가가 아시아나항공의 블록딜(장 개시 전 시간 외 대량매매) 소식에 하락세다.16일 오전 9시36분 현재 CJ대한통운은 전 거래일보다 1.15% 내린 12만9000원에 거래되고 있다. 거래량은 225.23% 증가했다.주가 하락은 이날 전해진 아시아나항공의 블록딜 소식과 연관이 있는 것으로 풀이된다. 시장에 대규모 물량이 쏟아지면서 주가 하락 현상이 나타난 것이다. 아시아나항공은 이날 보유 주식수 73만8427주를 블록딜 방식으로 처분하기로 결정했다고 공시했다. 처분 금액 규모는 약 934억원으로, 이는 15일 종가 기준 할인율을 적용해 산출한 금액이다. 아시아나항공은 ""재무구조개선을 위한 비핵심자산 매각한다""고 설명했다. 처분 후 주식수와 지분율은 각각 40만주, 1.75%다.시장에서는 추가적인 주가 하락 가능성도 내비쳤다. 박광래 신한금융투자 연구원은 이날 보고서를 통해 ""CJ대한통운의 주가는 기대치를 하회할 것으로 보이는 실적에 블록딜까지 더해져 단기적으로는 추가적으로 하락할 가능성이 높다""고 판단했다.중장기적으로는 오버행 리스크 해소가 주가 반등을 이끌 것으로 봤다. 오버행은 주식시장에서 언제든 매물로 나올 수 있는 대량의 대기물량을 일컫는다. 박 연구원은 ""주가 상승을 제한했던 오버행 이슈가 해소되었다는 점에서 중장기적 측면에서는 주가에 긍정적'이라며 ""주가 반등의 시기는 곤지암 메가 허브 터미널 효과가 반영되는 올 하반기로 예상한다""고 내다봤다.조호윤 기자 hodoo","https://finance.naver.com/news/market_special_read.nhn?article_id=0004198304&office_id=277&type=title&keyword=",41,1,1,"도로 화물 운송업",2018,71104,63089,3.31,126.72,1380,1930,-3000,1061689,"2018-03-23","2018-03-26","6","5",-0.0235294117647059,"3-8","1-8"
120,"CJ대한통운",5029,"제도적이슈","""CJ대한통운, 최저임금 인상 타격 크다""…목표가↓","2018-03-27","
자료 제공 = 유진투자증권유진투자증권은 27일 CJ대한통운에 대해 최저임금 인상 타격이 예상보다 클 전망이라며 목표주가를 기존 18만원에서 16만원으로 하향 조정했다. 투자의견은 '매수'를 유지했다.방민진 유진투자증권 연구원은 ""CJ대한통운은ㅇ 최저 임금 인상에 따른 비용 증가가 예상보다 클 것으로 보여 단기적으로는 곤지암 허브 터미널 가동에 따른 비용 절감 효과를 상쇄할 것""이라면서 ""택배 단가 역시 인상 요건이 충족되기까지 시일이 걸릴 것으로 판단해 올해 동사의 택배 부문 이익 개선은 제한적일 것으로 전망한다""고 말했다.1분기 연결 기준 매출액은 1조8900억원, 영업이익은 483억원으로 추정했다. 전년 동기 대비 각각 19.0% 증가, 5.6% 감소한 수준이다.방 연구원은 ""오는 6월 곤지암 허브 터미널 가동 시 기존 수동 터미널 물량을 자동화 시설인 곤지암으로 집적해 도급 비용 절감, 네트워크 효율화에 따른 간선비용 절감, 처리 능력 한계로 발생하던 마진율 변동성 축소 등을 기대할 수 있었다""면서도 ""이 가운데 최저임금 인상으로 도급 비용 절감 효과는 사실상 기대하기 어려워졌다""고 진단했다.[디지털뉴스국 김경택 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004122340&office_id=009&type=title&keyword=",42,1,1,"도로 화물 운송업",2018,71104,63089,3.31,126.72,1380,1930,-1000,48996,"2018-03-28","2018-03-29","2","1",-0.0075187969924812,"1-2","1-8"
140,"하이트진로홀딩스",16987,"국내증시위기","벽산·서흥 등 코스피200 제외종목 `약세`","2017-05-18","[이데일리 이후섭 기자] 벽산(007210) 서흥(008490) 일동홀딩스(000230) 등 코스피200지수에서 제외된 종목들이 하락세다.18일 오전 10시15분 현재 벽산은 전날대비 160원(4.34%) 내린 3525원에 거래되고 있다. 서흥과 일동홀딩스는 각각 3.93%, 3.21% 하락세를 기록하고 있다. 크라운해태홀딩스(005740)(-2.87%) 하이트진로홀딩스(000140)(-2.53%) 삼광글라스(005090)(-1.58%) 국도화학(007690)(-1.47%) S&T;중공업(003570)(-1.33%) 등도 약세를 면치 못하고 있다.한국거래소는 지난 16일 주가지수운영위원회를 열고 코스피200과 코스닥150 구성종목 정기변경을 확정했다고 전날 밝혔다. 이번 코스피200지수 정기변경으로 기존에 편입됐던 하이트진로홀딩스, 일동홀딩스, 일신방직, S&T;중공업, 조광피혁, 삼광글라스, 크라운해태홀딩스, 벽산, 국도화학, 서흥 등 10개 종목이 빠졌다. 이창환 IBK투자증권 연구원은 “발표된 종목의 정기변경일은 오는 6월9일이나 실질적인 편출이 이뤄지는 시점은 6월 선물·옵션 동시 만기일인 둘째주 목요일 장마감 이후”라며 “이날 코스피200을 추종하는 패시브 펀드의 자금 유출입이 발생할 수 있다”고 판단했다.이후섭 (dlgntjq","https://finance.naver.com/news/market_special_read.nhn?article_id=0003827432&office_id=018&type=title&keyword=",2861,1,1,"기타 금융업",2017,18954,39671,7.01,229.63,1179,1933,100,82190,"increase","increase","increase","increase",0.00858369098712446,"increase","increase"
210,"대림산업",14552,"제도적위기","강력한 부동산 규제+신용위험 우려…건설株 ‘털썩’","2017-08-03","[이데일리 이명철 기자] 투기지역 지정이나 금융규제 강화 등 정부의 고강도 부동산 대책 발표에 건설주가 일제히 하락세를 나타내고 있다.3일 오전 10시8분 현재 동부건설(005960) 주가는 전일대비 7.90% 내린 1만3400원을 기록 중이다. 이어 한신공영(004960) GS건설(006360) 삼호(001880) 현대산업(012630) 대림산업(000210) 대우건설(047040) 금호산업(002990) 현대건설(000720) 한라(014790) 태영건설(009410) 등 순으로 하락세다. 대책 발표 후 주택시장 위축에 따른 건설사들의 주택사업 부진 우려가 반영되는 것으로 풀이된다.증권가에서도 중장기로 볼 때 건설업 투자에 대해 신중해야 한다는 의견이 나오고 있다. 라진성 키움증권 연구원은 “8월 가계부채종합방안, 총부채원리금상환비율(DSR) 확대 시행 등 추가 정책 발표가 예정됐고 보유세 인상 가능성도 언급되고 있다”며 “올해까지 대형사 신규 공급계획에 미치는 영향은 제한적이지만 내년부터는 입주물량 증가와 국내외 금리인상 등 주택 조정요인이 증가해 건설업 투자 전략 측면에서는 주택부문에 대해 보수적인 시각이 필요하다”고 진단했다.여기에 이날 채권은행에서 발표 예정인 대기업에 대한 신용위험평가 결과도 투자심리에 영향을 미치는 것으로 보인다. 건설업은 지난해에도 C등급 3곳, D등급 3곳으로 선정되는 등 신용위험도가 높은 업종으로 분류되고 있다.이명철 (twomc","https://finance.naver.com/news/market_special_read.nhn?article_id=0003889769&office_id=018&type=title&keyword=",763,1,2,"토목 건설업",2017,98538,123915,4.26,140.83,6873,1939,2700,194355,"infinity","infinity","infinity","infinity",0.0298342541436464,"infinity","infinity"
210,"대림산업",13413,"제도적위기","8·2 부동산 후속대책 여파…건설株 ‘약세’","2017-09-06","[이데일리 이명철 기자] 부동산 투기과열지구 추가 지정과 분양가 상한제 적용 등을 담은 8·2 부동산 후속 대책 발표 이후 건설주가 약세를 나타내고 있다.GS건설 주가는 전일대비 3.21% 내린 2만8600원을 기록 중이다. 현대건설(000720) 한라(014790) 대우건설(047040) 현대산업(012630) 대림산업(000210) 화성산업(002460) 한진중공업(097230) 코오롱글로벌(003070) 두산건설(011160) 태영건설(009410) 계룡건설(013580) 등도 약세다. 주택 수요 위축에 따른 분양시장 여건 저하 등이 투자심리를 위축하는 것으로 풀이된다.금호타이어 매각 무산 소식이 더해진 금호산업(002990)은 같은시간 6.51% 내린 8330원에 거래되고 있다.정부는 전날 8·2 대책 후속 조치로 성남시 분당구와 대구 수성구를 투기과열지구로 추가지정하고 민간택지에 분양가상한제를 적용하는 요건을 개선했다고 발표했다. 김형근 NH투자증권 연구원은 “주택 투기수요는 급감하고 주택 구매심리도 둔화될 것”이라며 “입주물량이 급증하는 지역 중심으로 가격 조정이 시작될 것”이라고 진단했다.이명철 (twomc","https://finance.naver.com/news/market_special_read.nhn?article_id=0003916654&office_id=018&type=title&keyword=",765,1,1,"토목 건설업",2017,98538,123915,4.26,140.83,6873,1939,1800,112346,"2017-09-14","2017-10-24","28","6",0.020979020979021,"3-8","16-30"
210,"대림산업",8538,"실적부진","대림산업, 실적 충격에 급락","2018-01-26","
대림[연합뉴스TV 캡처](서울=연합뉴스) 유현민 기자 = 대림산업이 작년 4분기 시장기대치(컨센서스)를 밑도는 실적 충격의 영향으로 26일 장 초반 급락세를 보이고 있다.     이날 오전 9시 22분 현재 유가증권시장에서 대림산업은 전날보다 10.18% 떨어진 8만300원에 거래됐다.     대림산업은 작년 4분기 연결기준 실적은 매출액 3조2천877억원으로 전년 동기보다 27.5% 증가하고, 영업이익은 925억원으로 49.7% 증가했다고 전날 장 마감 후 공시했다. 다만, 당기순손실 388억원을 내 적자 전환했다.     채상욱 하나금융투자 연구원은 ""세전이익은 -684억원으로 적자 전환했고, 지배지분순이익도 -338억원으로 적자 전환했다""며 ""영업이익과 세전이익은 컨센서스보다 40% 이상 부족한 실적충격(어닝쇼크) 수준""이라고 분석했다.     채 연구원은 ""당분간 건설부문 영업환경이 침체할 전망이고 이란 등 기대했던 해외시장 수주 가시성도 낮아져 투자 매력이 희매해졌다""며 투자의견을 '매수'에서 '중립(Neutral)'으로 목표주가를 11만원에서 8만6천원으로 각각 내렸다.     hyunmin623","https://finance.naver.com/news/market_special_read.nhn?article_id=0009838196&office_id=001&type=title&keyword=",766,1,6,"토목 건설업",2018,123355,134025,4.42,135.37,12707,1939,3300,1701345,"infinity","infinity","infinity","infinity",0.0390532544378698,"infinity","infinity"
210,"대림산업",1240,"호황무산","대림산업, 최근 5거래일 '신저가'…이란 정유공장 계약 해지 여파","2018-06-04","[머니투데이 신아름 기자] 대림산업이 이란 정유공장 계약 해지의 여파로 약세다.대림산업은 4일 오전 9시 43분 현재 전 거래일 대비 1700원(2.02%) 하락한 8만2500원에 거래되고 있다. 이는 최근 5거래일간 신저가다.대림산업은 지난 1일 장마감 이후 공시를 통해 이란 정유회사 이스파한과 지난해 3월 체결한 2조2334억원 규모의 정유공장 개선사업 공사계약이 해지됐다고 밝혔다.","https://finance.naver.com/news/market_special_read.nhn?article_id=0004060187&office_id=008&type=title&keyword=",772,1,1,"토목 건설업",2018,123355,134025,4.42,135.37,12707,1939,1700,324899,"infinity","infinity","infinity","infinity",0.0201900237529691,"infinity","infinity"
230,"일동홀딩스",16987,"국내증시위기","벽산·서흥 등 코스피200 제외종목 `약세`","2017-05-18","[이데일리 이후섭 기자] 벽산(007210) 서흥(008490) 일동홀딩스(000230) 등 코스피200지수에서 제외된 종목들이 하락세다.18일 오전 10시15분 현재 벽산은 전날대비 160원(4.34%) 내린 3525원에 거래되고 있다. 서흥과 일동홀딩스는 각각 3.93%, 3.21% 하락세를 기록하고 있다. 크라운해태홀딩스(005740)(-2.87%) 하이트진로홀딩스(000140)(-2.53%) 삼광글라스(005090)(-1.58%) 국도화학(007690)(-1.47%) S&T;중공업(003570)(-1.33%) 등도 약세를 면치 못하고 있다.한국거래소는 지난 16일 주가지수운영위원회를 열고 코스피200과 코스닥150 구성종목 정기변경을 확정했다고 전날 밝혔다. 이번 코스피200지수 정기변경으로 기존에 편입됐던 하이트진로홀딩스, 일동홀딩스, 일신방직, S&T;중공업, 조광피혁, 삼광글라스, 크라운해태홀딩스, 벽산, 국도화학, 서흥 등 10개 종목이 빠졌다. 이창환 IBK투자증권 연구원은 “발표된 종목의 정기변경일은 오는 6월9일이나 실질적인 편출이 이뤄지는 시점은 6월 선물·옵션 동시 만기일인 둘째주 목요일 장마감 이후”라며 “이날 코스피200을 추종하는 패시브 펀드의 자금 유출입이 발생할 수 있다”고 판단했다.이후섭 (dlgntjq","https://finance.naver.com/news/market_special_read.nhn?article_id=0003827432&office_id=018&type=title&keyword=",2327,1,1,"기타 금융업",2017,408,2041,-9.16,91.03,15023,1941,900,150552,"2017-05-22","2017-06-09","12","2",0.0486486486486487,"1-2","12-15"
240,"한국타이어월드와이드",2092,"기타","""한국타이어월드와이드, 주가 하락은 신규 진입 기회로 삼아야""","2018-05-17","
자료 제공 = 하나금융투자하나금융투자는 17일 한국타이어월드와이드에 대해 주가 하락은 신규 진입의 기회로 삼아야 한다고 평가했다.송선재 하나금융투자 연구원은 ""적정 기업가치의 83%·11% 비중을 차지하는 한국타이어·아트라스BX에 대한 지분가치는 각 사의 실적은 하반기로 갈수록 개선되면서 동반 상승할 것""이라며 ""현재와 같이 악재만 반영하고 있는 주가에서는 적극적인 신규 진입의 기회로 삼아야 한다""고 말했다. 한국타이어월드와이드의 적정 기업가치는 자회사들에 대한 지분가치(30% 할인 적용한 1조9000억원)와 로열티·순현금 가치(4000억원)을 합산한 2조3000억원으로 평가했다. 현재 주가는 35% 할인된 상태다.송 연구원은 ""한국타이어의 1분기 실적은 예상보다 적은 물량으로 외형이 축소되면서 기대치를 밑돌았다""면서도 ""하지만 지난해 2~3분기에 단행했던 가격인상이 올해 온기 내내 반영되고 주요 원재료의 투입원가는 안정화된 상태라 당분간 스프레드는 긍정적일 것""이라고 말했다. 최근 몇 분기 동안 이익률 하락의 주범이었던 미국 테네시 공장 역시 가동률 상승으로 적자를 축소할 것이고, 3분기에 손익분기점(BEP) 달성이 기대된다고 평가했다. [디지털뉴스국 김경택 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004152259&office_id=009&type=title&keyword=",2908,1,1,"기타 금융업",2018,8248,32525,24.16,8.56,1823,1941,100,51705,"infinity","infinity","infinity","infinity",0.00546448087431694,"infinity","infinity"
240,"한국타이어월드와이드",1527,"투자","""한국타이어월드와이드, 성장 잠재력 가시화 필요""…목표가↓","2018-05-30","
자료 제공 = NH투자증권NH투자증권은 30일 한국타이어월드와이드에 대해 밸류에이션 매력이 부각되기 위해서는 성장 잠재력이 가시화할 필요가 있다고 지적했다. 목표주가는 기존 2만5000원에서 2만2500원으로 하향 조정하고 투자의견은 '매수'를 유지했다.조수홍 NH투자증권 연구원은 ""양호한 재무구조와 밸류에이션 매력이 부각되기 위해서는 성장 잠재력 가시화가 필요하다""면서 ""유동성을 기반으로 한 사업 다각화(M&A;등) 실행 또는 주주환원정책의 의미있는 변화 등이 저평가 해소를 위한 전제조건""이라고 설명했다.한국타이어월드오이드의 지난해 말 순현금은 2410억원으로 전년 대비 감소했다. 이는 지난해 12월 한국타이어 지분 추가매입(약 3240억원 규모)으로 인해 지분율을 30%(기존 25%)로 확대했기 때문이다. 한국타이어월드와이드는 브랜드로열티, 주요 투자자산에 대한 배당금 수입 등 지주부문에서 연간 약 600억원 이상의 현금유입이 지속되고 있다. 또 연결 사업자회사인 아트라스BX도 안정적인 현금 창출이 지속되고 있어 순현금 규모는 매년 확대될 전망이다.조 연구원은 ""한국타이어월드와이드는 양호한 현금 창출능력을 기반으로 향후 자동차 관련 영역으로의 사업다각화를 통해 성장 잠재력을 높여나갈 계획이지만 아직까지 현실화되고 있지는 못하다""면서 ""양호한 현금유동성이 성장 잠재력 확대를 위한 사업다각화로 현실화되거나 배당 등 주주환원정책의 변화가 나타날 때 밸류에이션 재평가 요인이 될 수 있을 것""이라고 말했다.[디지털뉴스국 김경택 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004159477&office_id=009&type=title&keyword=",2909,1,1,"기타 금융업",2018,8248,32525,24.16,8.56,1823,1941,-300,84514,"2018-06-05","2018-06-12","8","4",-0.0167130919220056,"3-8","1-8"
